"A retail analyst is using scikit-learn to predict weekly sales. What is the best way to handle categorical features?","The dataset includes 'store_type' and 'region' columns.","A) Drop categorical features","B) One-hot encode categorical features","C) Use label encoding for all features","D) Ignore categorical features","B","One-hot encoding is preferred for non-ordinal categorical features in regression models.","ML Fundamentals"
"A data scientist is evaluating a regression model for house prices. Which metric best penalizes large errors?","The business wants to avoid large prediction mistakes.","A) MAE","B) RMSE","C) R2 Score","D) Accuracy","B","RMSE penalizes large errors more than MAE, making it suitable when large mistakes are costly.","Evaluation Metrics"
"A hospital wants to predict patient readmission risk. What is a key challenge in this ML task?","Readmission events are rare compared to non-readmissions.","A) Class imbalance","B) Feature scaling","C) Overfitting","D) Underfitting","A","Class imbalance is common in medical datasets with rare events.","ML Fundamentals"
"A startup is building a recommendation engine. What is collaborative filtering?","The system suggests products based on user-item interactions.","A) Uses user features only","B) Uses item features only","C) Uses similarities between users and items","D) Ignores user history","C","Collaborative filtering leverages similarities between users and items for recommendations.","Recommendation Systems"
"A bank is using logistic regression for credit approval. What does the output represent?","The model predicts approval (yes/no) for loan applications.","A) Probability of approval","B) Credit score","C) Loan amount","D) Interest rate","A","Logistic regression outputs the probability of the target class (approval).","Classification"
"A telecom company is clustering customers for marketing. What is the elbow method used for?","The team wants to choose the optimal number of clusters.","A) Evaluates cluster separation","B) Determines optimal K","C) Measures feature importance","D) Reduces dimensionality","B","The elbow method helps determine the optimal number of clusters (K) in clustering algorithms.","Clustering"
"A researcher is using PCA for dimensionality reduction. What is a benefit of PCA?","The dataset has 100 features, many of which are correlated.","A) Removes outliers","B) Reduces feature correlation","C) Improves model interpretability","D) All of the above","D","PCA reduces dimensionality, removes correlation, and can improve interpretability.","Dimensionality Reduction"
"A developer is training a neural network with PyTorch. What does optimizer.step() do?","The model is minimizing loss on training data.","A) Computes gradients","B) Updates model weights","C) Calculates loss","D) Loads data","B","optimizer.step() updates model weights using computed gradients.","PyTorch Training"
"A student is building an RNN for time series forecasting. What is a key feature of RNNs?","The model predicts future values based on past sequences.","A) Handles sequential data","B) Ignores order of data","C) Only works for images","D) Requires one-hot encoding","A","RNNs are designed to handle sequential data and capture temporal dependencies.","RNNs"
"A team is tuning dropout rate in a neural network. What is the effect of increasing dropout?","The model is overfitting on training data.","A) Reduces overfitting","B) Increases training speed","C) Improves accuracy","D) No effect","A","Increasing dropout reduces overfitting by randomly dropping neurons during training.","Dropout Regularization"
"A data scientist is using early stopping during training. What is the main benefit?","The model's validation loss starts increasing after several epochs.","A) Prevents overfitting","B) Speeds up training","C) Improves accuracy","D) Reduces memory usage","A","Early stopping halts training when validation loss increases, preventing overfitting.","Early Stopping"
"A developer is using batch normalization in a CNN. What does batch normalization do?","The model has several convolutional layers.","A) Normalizes activations","B) Increases training speed","C) Reduces internal covariate shift","D) All of the above","D","Batch normalization normalizes activations, increases training speed, and reduces covariate shift.","Batch Normalization"
"A researcher is building a sentiment analysis model. What is a common preprocessing step for text?","Text data contains punctuation and stopwords.","A) Remove punctuation","B) Remove stopwords","C) Tokenize text","D) All of the above","D","All listed steps are common for text preprocessing in NLP.","NLP Preprocessing"
