Question,Scenario,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Topic
"A company wants to build a Q&A system for their internal documentation but needs the most current information. Their documents change frequently. What approach should they use?","Company has 10,000 internal documents that are updated daily. Standard language models are trained on data from months ago and can't access current information.","A) Fine-tune a language model on the documents","B) Use Retrieval-Augmented Generation (RAG) with a live document index","C) Build a rule-based system","D) Use only pre-trained models","B","RAG allows the system to retrieve current documents and use them as context for generation, ensuring answers reflect the most up-to-date information without retraining.","RAG Systems"
"In a RAG system, what is the typical pipeline for processing a user query?","User asks: 'What is our company policy on remote work?' System needs to find relevant policy documents and generate a comprehensive answer.","A) Generate answer directly from model memory","B) Query encoding → document retrieval → context augmentation → answer generation","C) Only search documents without generation","D) Random document selection","B","RAG pipeline: 1) Encode user query into embeddings, 2) Retrieve relevant documents using similarity search, 3) Augment prompt with retrieved content, 4) Generate answer using enhanced context.","RAG Systems"
"What are the key components of a vector database in a RAG system?","RAG system needs to store and search through 1 million document embeddings (768 dimensions each) for fast similarity matching.","A) Only stores text documents","B) Stores high-dimensional embeddings with fast similarity search capabilities","C) Traditional SQL database","D) Simple file storage","B","Vector databases store high-dimensional embeddings and provide fast similarity search using methods like cosine similarity, enabling efficient retrieval of relevant documents.","Vector Databases"
"What is the difference between dense and sparse retrieval methods in RAG?","Query: 'machine learning optimization techniques'. Dense retrieval uses semantic embeddings, sparse retrieval uses keyword matching like TF-IDF or BM25.","A) Dense and sparse are identical","B) Dense uses semantic embeddings, sparse uses exact keyword/term matching","C) Dense is always better","D) Sparse is always better","B","Dense retrieval uses neural embeddings for semantic similarity. Sparse retrieval uses traditional IR methods (TF-IDF, BM25) for exact term matching. Both have complementary strengths.","RAG Systems"
"How do you handle multi-hop reasoning in RAG systems?","Question: 'Who is the CEO of the company that acquired Instagram?' Requires finding: Instagram was acquired by Meta → Meta's CEO is Mark Zuckerberg.","A) Single retrieval step is always sufficient","B) Use iterative retrieval or reasoning chains to gather information across multiple documents","C) Multi-hop reasoning is impossible","D) Only simple questions can be answered","B","Multi-hop reasoning requires iterative retrieval, reasoning chains, or graph-based approaches to connect information across multiple documents or reasoning steps.","RAG Systems"
"What is chunking in RAG systems and why is it important?","Long research paper (50 pages) needs to be stored in vector database. Most embedding models have token limits (512-4096 tokens), requiring document segmentation.","A) Store entire documents as single embeddings","B) Split documents into smaller chunks to fit embedding model limits and improve retrieval granularity","C) Chunking reduces retrieval quality","D) Only short documents work in RAG","B","Chunking splits long documents into smaller segments that fit embedding model limits, improve retrieval precision, and allow more relevant context selection.","RAG Systems"
"How do you evaluate the performance of a RAG system?","RAG system answers questions about company policies. Need to measure both whether it finds the right documents and whether it generates accurate answers.","A) Only measure generation quality","B) Evaluate both retrieval metrics (precision, recall) and generation quality (accuracy, relevance)","C) Only measure retrieval quality","D) Evaluation is unnecessary","B","RAG evaluation requires: retrieval metrics (precision@k, recall, MRR) to measure document finding accuracy, and generation metrics (factual accuracy, relevance) for answer quality.","RAG Systems"
"What is re-ranking in RAG systems and when is it useful?","Initial retrieval returns 100 potentially relevant documents. Need to select the top 5 most relevant ones for context augmentation to fit prompt limits.","A) Use documents in random order","B) Apply more sophisticated models to re-rank initially retrieved documents by relevance","C) Always use all retrieved documents","D) Re-ranking is unnecessary","B","Re-ranking applies more sophisticated models (cross-encoders, neural re-rankers) to improve the relevance ranking of initially retrieved documents before context augmentation.","RAG Systems"
"How do you handle conflicting information in retrieved documents for RAG?","Query about product pricing returns documents with different prices: Document A says $100, Document B says $120, Document C says $110.","A) Always use the first document","B) Implement conflict detection, source reliability weighting, and transparent uncertainty communication","C) Ignore conflicting information","D) Average all conflicting values","B","Handle conflicts through: conflict detection algorithms, source credibility weighting, temporal information (most recent), and transparent communication of uncertainty to users.","RAG Systems"
"What is the role of embedding models in RAG systems?","RAG system needs to convert both user queries and documents into comparable vector representations for similarity search.","A) Embeddings are only for storage","B) Embedding models encode queries and documents into vector space for semantic similarity computation","C) Random vectors work just as well","D) Embeddings are unnecessary","B","Embedding models convert text into high-dimensional vectors that capture semantic meaning, enabling similarity computation between queries and documents in vector space.","Vector Databases"
"What are some popular vector database solutions and their characteristics?","Building production RAG system with 10M documents, need fast similarity search, scalability, and persistence.","A) Only traditional databases work","B) Solutions include Pinecone, Weaviate, Chroma, FAISS, Qdrant - each with different performance and feature trade-offs","C) Vector databases don't exist","D) File storage is sufficient","B","Popular vector databases: Pinecone (managed), Weaviate (open-source), Chroma (lightweight), FAISS (Facebook), Qdrant (Rust-based) - each optimized for different use cases.","Vector Databases"
"How do you choose the right similarity metric for vector search?","Comparing document similarity using different metrics: cosine similarity, Euclidean distance, dot product. Documents are normalized embeddings.","A) All similarity metrics are identical","B) Choose based on embedding characteristics: cosine for normalized vectors, Euclidean for absolute distance, dot product for unnormalized","C) Random selection is fine","D) Only cosine similarity works","B","Metric selection depends on use case: cosine similarity for normalized embeddings (most common), Euclidean distance for absolute proximity, dot product for magnitude-sensitive comparisons.","Vector Databases"
"What is approximate nearest neighbor (ANN) search and why is it used in vector databases?","Exact search through 10M high-dimensional vectors takes too long for real-time applications. Need to balance speed and accuracy.","A) Exact search is always faster","B) ANN trades some accuracy for significant speed improvements using indexing structures like LSH or HNSW","C) Approximate search is always less accurate","D) Only exact search should be used","B","ANN algorithms (LSH, HNSW, IVF) provide fast approximate similarity search by sacrificing small amounts of accuracy for dramatic speed improvements on large datasets.","Vector Databases"
"How do you handle vector database scaling and performance optimization?","Vector database with growing dataset from 1M to 100M vectors, increasing query load, need to maintain sub-100ms response times.","A) Scaling is automatic","B) Use sharding, indexing optimization, caching, and horizontal scaling strategies","C) Performance cannot be optimized","D) Vertical scaling is the only option","B","Scaling strategies: horizontal sharding across nodes, optimized indexing (HNSW parameters), result caching, load balancing, and hardware optimization (GPU acceleration).","Vector Databases"
